event_id,1_moduleMap_gpu_time,1_moduleMap_time,4_preprocess_gpu_time,4_preprocess_time,5_interactionGNN2_gpu_time,5_interactionGNN2_time,6_cCInfer_gpu_time,6_cCInfer_time,7_num_edges_bg,7_num_edges_gnn,8_num_scores_above_threshold,num_nodes,total_event,total_event_gpu
005000911,22.384990234375,22.38502550125122,0.004438240051269532,0.0044820308685302734,0.889314697265625,0.8893435001373291,0.014105376243591308,0.014149188995361328,1739444,1739444,28279.0,303627,23.335429191589355,23.335427734375
005000912,20.454544921875,20.454573154449463,0.00438646411895752,0.004424095153808594,0.9923934326171875,0.9924206733703613,0.011402303695678712,0.011452436447143555,1517018,1517018,25032.0,284438,21.51162838935852,21.511619140625
005000913,22.421642578125,22.421672821044922,0.004581567764282227,0.004635810852050781,0.9351918334960938,0.935230016708374,0.008240127563476562,0.008287429809570312,1828776,1828776,28670.0,308580,23.41348433494568,23.413470703125
005000914,16.96277734375,16.96281147003174,0.004017951965332031,0.004054546356201172,0.5977418212890625,0.5977704524993896,0.005898784160614014,0.005941867828369141,1116298,1116298,19429.0,245998,17.605207920074463,17.605201171875
005000915,23.50426953125,23.504298448562622,0.004659071922302246,0.004696369171142578,1.00882177734375,1.008850336074829,0.008224160194396972,0.008272171020507812,1998958,1998958,31579.0,321343,24.580597162246704,24.58060546875
005000916,23.029326171875,23.029361724853516,0.00435206413269043,0.004389762878417969,0.951206298828125,0.9512465000152588,0.007816415786743164,0.007863283157348633,1830938,1830938,29238.0,310706,24.04540181159973,24.045412109375
005000917,21.456916015625,21.456944704055786,0.0043639039993286135,0.004400014877319336,0.8718671264648438,0.8718960285186768,0.03873699188232422,0.038789987564086914,1700425,1700425,28035.0,297664,22.42356586456299,22.423556640625
005000918,21.70783984375,21.707878828048706,0.004698560237884521,0.004743814468383789,0.8990609741210938,0.8990993499755859,0.027931135177612306,0.027984619140625,1748768,1748768,28234.0,304401,22.69135308265686,22.6913359375
005000919,20.295869140625,20.29591202735901,0.004484511852264404,0.0045299530029296875,0.8082722778320313,0.8083038330078125,0.0072540478706359865,0.007300138473510742,1546260,1546260,25461.0,285796,21.159806966781616,21.159796875
005000920,20.6961328125,20.696182012557983,0.004371232032775879,0.004408597946166992,0.835014892578125,0.835045576095581,0.00706006383895874,0.007104396820068359,1585094,1585094,26256.0,292093,21.584089279174805,21.584091796875
005000921,25.55013671875,25.550175189971924,0.0051513280868530275,0.0051975250244140625,1.0578931884765626,1.0579278469085693,0.008703840255737305,0.00875401496887207,2097054,2097054,33445.0,329292,26.670210123062134,26.670203125
005000922,20.749607421875,20.749643802642822,0.004521567821502686,0.00455927848815918,0.832514404296875,0.832545280456543,0.03744316864013672,0.03748917579650879,1611031,1611031,26143.0,291824,21.674499988555908,21.674484375
005000923,18.151154296875,18.151203393936157,0.004109632015228271,0.004149198532104492,0.6817540283203125,0.6817848682403564,0.006433343887329102,0.006479501724243164,1273349,1273349,21679.0,260638,18.880577087402344,18.880556640625
005000924,28.541498046875,28.541531801223755,0.005253439903259278,0.005292654037475586,1.1307247314453126,1.130756139755249,0.010386207580566405,0.010433197021484375,2758015,2758015,43351.0,367825,29.74232292175293,29.74233203125
005000925,22.060662109375,22.06070113182068,0.004469600200653076,0.004509449005126953,1.150833740234375,1.1508641242980957,0.00800879955291748,0.00805521011352539,1823065,1823065,29891.0,303136,23.275519132614136,23.275515625
005000926,23.20041015625,23.20045304298401,0.004516575813293457,0.004555702209472656,0.9951114501953126,0.9951415061950684,0.008077024459838867,0.00812840461730957,1939086,1939086,31102.0,311960,24.273524045944214,24.273505859375
005000927,18.655888671875,18.65592861175537,0.004120096206665039,0.00416111946105957,0.665071044921875,0.6651017665863037,0.007613440036773681,0.0076656341552734375,1260044,1260044,21469.0,258568,19.370060443878174,19.370029296875
005000928,23.937310546875,23.937352180480957,0.004617599964141845,0.0046575069427490234,1.0085994262695313,1.0086312294006348,0.026468799591064452,0.026515722274780273,1981388,1981388,31269.0,322223,25.023072242736816,25.02308203125
005000929,28.475923828125,28.47595238685608,0.005177311897277832,0.005215644836425781,1.08817333984375,1.0882046222686768,0.012853376388549805,0.012917280197143555,2637064,2637064,41498.0,361507,29.63561725616455,29.63563671875
005000930,18.21668359375,18.216729879379272,0.00411030387878418,0.004149436950683594,0.65838671875,0.6584293842315674,0.006298912048339844,0.006346940994262695,1238740,1238740,21407.0,257042,18.92230725288391,18.922291015625
005000931,20.48405859375,20.484100818634033,0.004342559814453125,0.004382610321044922,0.7866155395507812,0.786646842956543,0.006926623821258545,0.006973743438720703,1489860,1489860,24714.0,285583,21.322922945022583,21.32291015625
005000932,22.80725,22.807288646697998,0.004477759838104248,0.0045163631439208984,0.91701611328125,0.9170472621917725,0.0077281599044799806,0.0077745914459228516,1789852,1789852,28711.0,303574,23.780293703079224,23.7802890625
005000933,21.71098046875,21.71101713180542,0.004502848148345947,0.004549264907836914,0.9083291015625,0.908360481262207,0.013316767692565918,0.013362884521484375,1778988,1778988,30160.0,299990,22.68043351173401,22.680421875
005000934,20.721853515625,20.72189211845398,0.004422656059265137,0.0044612884521484375,0.83959716796875,0.8396284580230713,0.0073294081687927245,0.007375955581665039,1628955,1628955,26665.0,292342,21.615026235580444,21.615017578125
005000935,19.80412109375,19.804161071777344,0.004548480033874511,0.00458979606628418,0.7680692749023438,0.768101692199707,0.006911392211914062,0.006957530975341797,1475984,1475984,24379.0,280250,20.63711452484131,20.637095703125
005000936,21.826970703125,21.827009439468384,0.004518976211547851,0.004558563232421875,0.905410888671875,0.9054427146911621,0.007476736068725586,0.0075223445892333984,1735307,1735307,28693.0,300197,22.78897786140442,22.788955078125
005000937,25.817158203125,25.817189693450928,0.004867775917053223,0.004906177520751953,1.3704119873046876,1.3704431056976318,0.009086912155151367,0.00913381576538086,2267760,2267760,36129.0,340406,27.252988815307617,27.252970703125
005000938,21.435517578125,21.435553312301636,0.0044720001220703125,0.004511594772338867,0.8367569580078125,0.8367891311645508,0.007209824085235596,0.007256269454956055,1610928,1610928,26371.0,289907,22.325735569000244,22.325728515625
005000939,22.654787109375,22.6548171043396,0.004812607765197754,0.0048563480377197266,0.9396163940429687,0.9396476745605469,0.007908192157745362,0.00795745849609375,1828135,1828135,29315.0,309621,23.652019262313843,23.652017578125
